gene_names,pg_adsp,pg_adsp.1,pg_adsp.2,pnl_adsp,pnl_adsp.1,pnl_adsp.2,pg_ukb,pg_ukb.1,pg_ukb.2,pnl_ukb,pnl_ukb.1,pnl_ukb.2,adsp_size,ukb_size,gene_ind,gene_name,pg_adsp_combined,pnl_adsp_combined,pg_ukb_combined,pnl_ukb_combined
ENSG00000127483.17,0.849930879800506,0.323403454277976,0.0798279915399177,0.910837049184977,0.987341391495335,0.158613545066447,0.183708105761362,0.2582350594679,0.395863787473067,0.183454224675369,0.257917685229795,0.396215685783794,10454,367182,286,HP1BP3,0.275035550360776,0.964477465432027,0.259571215413745,0.25938303497697
ENSG00000117298.14,0.62627705241139,0.792167160117539,0.997735044916467,0.612009087226814,0.617478504178812,0.794182199702454,0.779244150549146,0.267894343485927,0.159496333169112,0.78956267349969,0.259516657599349,0.0806159330717088,10454,367182,290,ECE1,0.993288474858059,0.692880711935161,0.351034929911723,0.224663713641142
ENSG00000227001.3,0.263511112716373,0.443241605759488,0.545812796179843,0.258901442355322,0.815803455948843,0.387453247137344,0.199516630284057,0.0288018396181585,0.0670219587020569,0.149254342766154,0.0558319419569157,0.0950513394326169,10454,367182,291,NBPF2P,0.402014081069728,0.5228889807736,0.0553406530103665,0.0857511994963591
ENSG00000142794.18,0.428753276192772,0.759564656384034,0.710131051236518,0.565495897373797,0.566213231517393,0.649586855781238,0.735841949014401,0.0676278436249645,0.379200632112856,0.490373714111889,0.0334356877073605,0.194987944189167,10454,367182,293,NBPF3,0.656838708553652,0.595460652166804,0.200342632143653,0.0852066617466377
ENSG00000076864.19,0.611411700031309,0.0636739736317817,0.562964841914756,0.435145495240433,0.518292058114431,0.955207433006357,0.198370182290977,0.58388248436095,0.170854698834842,0.399543634678521,0.524704649273251,0.166183369006183,10454,367182,296,RAP1GAP,0.191608741591164,0.869625232300983,0.260852793011561,0.313798834774598
ENSG00000218510.6,0.871590228914984,0.454347005746979,0.213153757786927,0.888549964656671,0.803999432649471,0.313890794742856,0.527969237094138,0.403090144403555,0.545336250620214,0.848374737163497,0.744308170938241,0.663243815839741,10454,367182,302,LINC00339,0.596202807583398,0.773983342131613,0.491224674626587,0.772902832815037
ENSG00000173372.16,0.517453078640037,0.368454305111389,0.0872881691705128,0.658016677723881,0.399254987856843,0.121566870394677,0.0540149591468077,0.0315821194824483,0.138184800598172,0.121739295258955,0.046722696402997,0.0747206050846395,10454,367182,307,C1QA,0.207208439521329,0.293430932770406,0.0524569146503389,0.0699499285689192
ENSG00000133216.16,0.237911485895356,0.735136463343699,0.90491127727218,0.258145457281167,0.668696260400609,0.460726128539543,0.69913066478648,0.103188197209832,0.0227356179398656,0.897969462946242,0.126921487057373,0.0182855790872608,10454,367182,310,EPHB2,0.754139048651891,0.448648836970447,0.0581798354786299,0.0564127009151143
ENSG00000011007.12,0.583143098967501,0.505973968418242,0.575599764064043,0.561133859822539,0.636199598615086,0.920197605866975,0.953824091657856,0.923058415035246,0.838477628163551,0.618053798406935,0.554886737958312,0.748304902870603,10454,367182,323,ELOA,0.555470168475279,0.814623783494857,0.926160553413815,0.652003620522728
ENSG00000236810.5,0.486190159033032,0.870323122008622,0.711931069516453,0.719660122508178,0.631340368346183,0.453211029048854,0.0776583458719882,0.746395919299112,0.114546418596746,0.3767555982901,0.607600413263889,0.469561840949174,10454,367182,324,ELOA-AS1,0.753117413584689,0.613284159236243,0.154272474729113,0.483869781745697
ENSG00000179163.11,0.187700739070634,0.770219903762413,0.791354367954954,0.229852998478306,0.784311782705882,0.972090753713035,0.965100679782618,0.900445557584443,0.957977466795681,0.954514878031382,0.92110085693396,0.917168305734154,10454,367182,329,FUCA1,0.596833981195976,0.918659796570094,0.951913590593888,0.935738205231971
ENSG00000001460.17,0.682605642414799,0.845099020299717,0.442387928881654,0.736156712762814,0.629478963858308,0.993275761129126,0.739288988457719,0.461308332965115,0.947174513882868,0.793001413941138,0.38360146495189,0.89561530066459,10454,367182,335,STPG1,0.711729625500366,0.980407519347047,0.86744990611442,0.790136121634135
ENSG00000169504.14,0.134509387411797,0.720725677372983,0.277125059141138,0.149499319474466,0.652963602727045,0.293627517862438,0.47554607862151,0.541159612433548,0.629554373204567,0.423229069933397,0.588605867071035,0.703604778288105,10454,367182,339,CLIC4,0.296163159475897,0.29813886516981,0.550929130577239,0.581345610257255
ENSG00000261349.1,0.0984217822548363,0.353204790463125,0.891240709964895,0.602456099330002,0.789334642159451,0.973004377953958,0.944951069407257,0.427759134359995,0.663216953501325,0.673392570309569,0.558229629958383,0.615824235474999,10454,367182,344,RP3-465N24.5,0.415527115386436,0.929791215144954,0.853608583477108,0.618522783894818
ENSG00000187010.19,0.11379446841949,0.921554991436161,0.669501185664289,0.683885297245739,0.794892859460873,0.787398282325422,0.299978837218016,0.923778221216872,0.887816793871302,0.636575392062878,0.527175064027369,0.634776431640737,10454,367182,345,RHD,0.678760148466793,0.762748941095308,0.854267929770645,0.601818411201223
ENSG00000224183.1,0.0552331989770482,0.562659894190125,0.599816144676936,0.34519935738821,0.962818361434057,0.997285910305715,0.41832174502436,0.931479246786063,0.574449429322045,0.811641849425241,0.807278126735252,0.985055795134051,10454,367182,346,SDHDP6,0.167060286086681,0.992378545408889,0.814431652086009,0.960767459785196
ENSG00000157978.11,0.833213338256628,0.21729230026177,0.427759512345641,0.732173333689477,0.213398594317966,0.589104227452804,0.760080455582838,0.564682203262101,0.740980459063643,0.989815376021177,0.773732104258099,0.909246501096958,10454,367182,351,LDLRAP1,0.528536063672865,0.491529627648995,0.702535820938136,0.973400442752665
ENSG00000130695.14,0.675914107494444,0.455301490440244,0.0401720370956521,0.667464245803533,0.302232532354194,0.0205085921937683,0.704930460995911,0.262225093815643,0.16798805607679,0.563009283994369,0.23857963636223,0.121796923054539,10454,367182,366,CEP85,0.122507367121603,0.0603448483569178,0.32096854108018,0.232071186953957
ENSG00000142669.14,0.241454281687445,0.473745163083427,0.510871442583408,0.438462108270957,0.496466001439822,0.517753472214234,0.911919956663255,0.860939576919792,0.624979006759804,0.779402746263264,0.678677694791692,0.79078795528078,10454,367182,367,SH3BGRL3,0.387786485858429,0.483987375751037,0.854029360324964,0.756688223559777
ENSG00000169442.8,0.47669964100056,0.241800576936531,0.161431551780049,0.381100443303462,0.448043986918854,0.198444065364711,0.0396137558147633,0.213762857722744,0.178957719565643,0.101345503188736,0.496273651191196,0.593682589836439,10454,367182,368,CD52,0.253974835354803,0.316739250682092,0.0859479913860701,0.264259325945751
ENSG00000117713.18,0.499651431896181,0.819728591743632,0.700480396296702,0.999999985165383,0.789023648740761,0.69578607311236,0.442668424419484,0.567910500645163,0.340557683130643,0.95776326913256,0.788433516893211,0.919424018577347,10454,367182,378,ARID1A,0.708236941892085,0.999999955496154,0.446098998297201,0.925789770821804
ENSG00000204160.11,0.546729844943695,0.705457154104137,0.478273951728251,0.443349587376432,0.591063107863715,0.414048265413084,0.179518860702137,0.179914085920663,0.19465175086777,0.92183729258757,0.938100922339725,0.923248525385777,10454,367182,380,ZDHHC18,0.586170739353595,0.482774100124244,0.18446343341303,0.928520795239293
ENSG00000117748.9,0.536521997437598,0.738714914004318,0.148181579268166,0.81100284176747,0.682428296495304,0.370111698751105,0.954838581377201,0.879788775006791,0.921126726098542,0.60060235425633,0.863126824144754,0.809581493446485,10454,367182,408,RPA2,0.402969977751458,0.663664233325182,0.930268028574783,0.794199457771543
